Matilde Rubio Bonilla,953008920
Maica Orozco Lira,957 365 569
Ana Alonzo Sarabia,987.598.437
Lorena Montañez Báez,900.395.919
Pedro Correa Argüello,967.647.850
Sr. Juan Ramón Salcedo Zepeda,933917294
Laura Godínez Delao,983 281 862
Pío Tamez Arias,959.090.581
Juan Ramón Treviño Loya,922 680 193
Sergi Cerda Parra,911-515-820
Jennifer Romo Calvillo,926 765 051
Sra. Matilde Mena Suárez,982-598-170
María de los Ángeles Monroy Estrada,961122422
Miguel Vergara Matías,962 242 689
Sr. Hermenegildo Soria Nájera,916267603
Maica Baeza Zambrano,909-135-342
Ángel Bermúdez Bahena,909 810 075
Salvador Naranjo Quintana,988.092.900
Andrea Yáñez Meraz,969.794.634
Ana Laureano Almanza,936 736 776
Pablo Valencia Mateo,900875703
María de los Ángeles Sisneros Leyva,940321517
Ricardo Sandoval Sierra,949 851 962
Iván Becerra Lara,928-331-941
Ángel Solís Martínez,992.180.783
Pedro Arce Castellanos,938459815
Jordi Oquendo Velasco,987.170.294
Iván Rodríguez Alejandro,910982473
Sra. Jennifer Ureña Rubio,920.969.450
Ana Segovia Olvera,970583775
Ana Trejo Vaca,917 669 173
Ángel Meraz Serrato,922586664
Marta García Zapata,949 622 350
Anni Gamboa Llamas,904 228 972
Lorena Barela Marín,908 532 006
Ángel Casarez Menchaca,946-249-402
Marta Jaimes Valencia,916-999-677
Jordi Saldivar Sosa,989.862.074
Sta. Ana Brito Zelaya,946955949
Marta Cortés Toro,959-790-758
Ricardo Valdez Serna,975610395
Jorge Barrios Villaseñor,926-054-624
Juan Ramón Delagarza Espinosa de los Monteros,900 159 732
Rubén Muro Saavedra,995.103.811
Carles Trujillo Alfaro,935-142-663
Juan Ramón Girón Partida,973-086-281
Roser Ceja Espinosa de los Monteros,995.205.335
Anni Vega Arce,994.105.888
Jennifer Henríquez Deleón,973502289
Sra. Jennifer Malave Juárez,996436022
Matilde Estévez Delarosa,986-110-072
María de los Ángeles Farías Cerda,932 191 240
Sta. Jennifer Casillas Herrera,977-158-774
Ana Cantú Ocasio,987 188 524
Miguel Bueno Olivera,930.009.214
María de los Ángeles Vallejo Paredes,909249581
Pedro Quintanilla Sanabria,986 671 184
Matilde Gamboa Villalobos,908 978 366
Miguel Montemayor Caldera,935.209.860
Laura Delafuente Lebrón,926 712 961
Pedro Nava Salas,906-984-520
Pablo Meza Delafuente,981434926
Maica Limón Villa,976-878-495
Manuel Quezada Véliz,940.797.543
Ricardo Venegas Castañeda,946 934 226
María de los Ángeles Salgado Gracia,973.533.655
Sta. Matilde Delao Atencio,988-874-518
Jennifer Lira Henríquez,940-402-739
Ana Vera Carrero,934265564
Matilde Ortiz Patiño,922-475-230
Jorge Montalvo Delarosa,947 350 502
Ángel Domínguez Malave,941 423 764
Sr. Rubén Valenzuela Saiz,993 553 199
Jordi Fonseca Flórez,961181882
Jennifer Aguirre Araña,931953034
Sergi Guardado Armas,986.571.209
Juan Ramón Posada Delafuente,943497782
Sta. Matilde Lomeli Salas,937 812 239
Marta Miramontes Robledo,991318923
Marta Vanegas Tejeda,978 673 107
Sergi Cabán Maestas,917-435-491
Laura Mondragón Delafuente,902 026 595
Sr. Daniel Gil Lozano,939-453-204
Hermenegildo Granados Luna,961.705.438
Roser Solorio Olmos,936578228
Pedro Portillo Orosco,947.580.584
Maica Blanco Loera,948 880 458
Juan Ramón Godoy Rojas,960-090-645
Carles de Jesús Meza,980.077.919
Manuel Cabrera Benavídez,916 549 101
Marta Cazares Navarro,982 373 140
Marta Peralta Navarro,951 912 248
Miguel Rascón Ulloa,959-821-985
Jordi Lerma Guevara,983.737.701
Laura Muñiz Benavídez,916.172.286
Iván Blanco Tapia,942.863.745
Jordi Cano Samaniego,922-287-485
María de los Ángeles Vaca Mejía,903-314-067
Miguel Rendón Torres,961-949-903
María de los Ángeles Téllez Negrón,970145968
Maica Loera Maestas,989 054 274
Maica Valentín Sauceda,936854177
Roser Olmos Medrano,977593636
Rubén Merino Quiñónez,988757156
Josep Jurado Sauceda,902-636-435
Lorena Escalante Tamayo,961-122-298
Matilde Lucio Ávila,973-123-575
Hermenegildo Alcántar Baeza,983-169-909
Ana Rojas Rosado,990 568 688
Jennifer Castañeda Moreno,926510453
Lorena Yáñez Alcalá,936 830 283
Marta Dávila Ceja,956-664-746
Andrea Villarreal Zarate,928-100-278
Matilde Téllez Valadez,952-676-798
Matilde Villanueva Ferrer,918.079.443
Jennifer Regalado Armenta,927807191
Jennifer Carrero Marroquín,944483235
Roser Guardado Collazo,938-029-553
Hermenegildo Carrasco Navarro,900.659.241
Salvador Estrada Zamudio,935944988
Daniel Quintanilla Preciado,987 178 482
Maica Casanova Santacruz,998809031
Lorena Polanco Ulibarri,928298716
Laura Guevara Alva,964511077
Salvador Paredes Benavides,955.377.705
María de los Ángeles Collado Ramos,913809270
Carles Cervantes Longoria,970-278-358
Ricardo Carrillo Feliciano,905-504-886
Lorena Figueroa Dueñas,949198721
Ana Roybal Delagarza,903.237.059
Miguel Mercado Manzanares,928 286 069
Rubén Zapata Ocasio,974 744 010
Josep Galindo Ojeda,907.928.245
Hermenegildo Roybal Gaytán,949603076
Lorena Romero Garza,986-569-712
Salvador Ceballos Alaníz,962 908 935
Josep Mateo Torres,964.808.512
Jennifer Orosco Ruíz,910-208-009
Roser Escamilla Garay,989-523-626
María de los Ángeles Chapa Casarez,931 743 664
Anni Meraz Delarosa,944688188
Jennifer Baca Molina,947 382 216
Pío Bernal Zaragoza,924-929-471
Jennifer Valentín Villegas,928630189
Laura Vela Montalvo,910341337
Miguel Valenzuela Cardona,938963147
Laura Argüello Mercado,960.839.257
Jordi Saldivar Villarreal,932-948-857
Josep Nieto Cortéz,901 447 426
Juan Ramón Osorio Carreón,986-690-746
Laura Ramírez Ávalos,999 364 484
Marta Reyes Lucero,914.640.172
Manuel Peña Aguilera,915660646
Maica Roque Quesada,917-425-488
Hermenegildo Benavides Cornejo,919 538 671
Matilde Lebrón Arredondo,927-576-769
Andrea Espinal Herrera,908.172.218
María de los Ángeles Arteaga Vergara,949781560
Daniel Villegas Gil,944 866 684
Ángel Paredes Adame,997-195-176
Matilde Ibarra Mota,964.458.210
Juan Ramón Lomeli Mayorga,900-323-636
Maica Rocha Melgar,930 745 321
Josep Cantú Caraballo,919-754-425
Sergi Lira Corral,943 106 750
Matilde Argüello Valdés,998-489-274
Pedro Alcalá Arroyo,904-311-417
Ricardo Álvarez Anguiano,948372802
Josep Ibarra Macías,916-310-260
Laura Guerra Mares,974.257.506
Sr. Pedro Olivas Amador,958 049 848
Matilde Anguiano Carreón,923-090-850
Sra. Andrea Quiñónez Orozco,971159575
Josep Caraballo Serrato,976 226 367
María de los Ángeles Baeza Lucio,993-740-388
Pío Solís Centeno,909.240.280
Sta. María de los Ángeles Zavala Barrientos,928.294.408
Maica Brito Valdivia,978347767
Marta Anaya Saucedo,910 231 750
Pío Velázquez Cabán,949499480
Manuel Zepeda Carvajal,940-446-194
Lorena Tirado Mejía,954-761-972
María de los Ángeles González Vélez,950-938-330
Jordi Zavala Rosas,977.222.585
Jordi Trujillo Valenzuela,976 043 005
Sr. Salvador Peña Ledesma,911-940-009
Ana Bahena Mata,973.692.728
Andrea Canales Torres,976 061 416
Manuel Pacheco Caldera,915801647
Sr. Ángel Montes Tejeda,950 158 273
Anni Espinosa de los Monteros Galarza,971 166 744
Sergi Peña Baeza,906 108 048
Roser Pabón Benavídez,966-821-379
Hermenegildo Nazario Véliz,985-700-975
Jennifer Nazario Díaz,901-723-923
Miguel Cazares Fajardo,950834449
Jorge Solorio Villarreal,969-415-452
Josep Carranza Delgadillo,948.823.200
Manuel Echevarría Urrutia,990-862-306
Ana Bañuelos Gaona,971.796.779
Matilde Sanabria Cárdenas,938098117
Andrea Villegas Godínez,902 752 167
Iván Fernández Pagan,955534209
Iván Gómez Lugo,958902479
Anni Mesa Casarez,977-483-616
Manuel Verdugo Polanco,900768029
Lorena Montéz Rincón,984 224 439
Maica Arenas Palomo,926 750 013
Iván Farías Puga,999563947
Josep Berríos Colón,918.247.938
Pablo Rosado Delacrúz,976822775
Matilde Montenegro Solorzano,959675903
Lorena Ochoa Fajardo,948852250
Maica Quiñones Agosto,965 335 850
Juan Ramón Girón Solano,913 693 743
Rubén Pabón Godoy,901-388-086
Anni Negrete Guillén,979349660
Jorge Jiménez Canales,941-908-809
Ángel Salcido Camacho,968.169.543
Marta Rubio Ramírez,928664838
Carles Bustamante Espinal,954 908 871
María de los Ángeles Henríquez Esparza,972.844.711
Maica Valdez Espinosa,996-246-471
Jorge Casares Cervantes,995 664 215
Iván Delarosa Tapia,967-171-963
Josep Molina Paz,900-119-970
Sr. Salvador Laureano Rincón,940-908-684
Ricardo Zelaya Montéz,903637394
Sr. Ángel Sierra Sarabia,971294119
Pablo Gurule Leiva,926.941.209
Manuel Torres Grijalva,965 875 054
Marta Serrato Serrano,972-912-960
Anni Badillo Pineda,929.924.470
Matilde Barrios Nava,900982058
Pablo Armijo Ayala,958 973 650
Laura Santillán Carrero,965-703-642
Matilde Valladares Nieves,918422604
Salvador Dávila Ledesma,978.513.593
Ricardo Meraz Madrid,909 358 456
María de los Ángeles Alva Romero,961.580.332
Maica Pulido Guardado,933736445
Rubén Bustamante Coronado,914 769 017
Laura Villalobos Corral,997-726-511
Sr. Miguel Navarrete Chávez,956656426
Ana Pabón Arenas,930 155 976
Sr. Sergi Cepeda Delacrúz,947214674
Ángel Gálvez Pulido,911.998.154
Matilde Preciado Romero,948 190 387
Jennifer Palomo Leyva,972.486.652
María de los Ángeles Cedillo Mata,981-241-643
Andrea Pedraza Rivero,922-283-868
Andrea Corrales Arevalo,991 541 031
Pío Arroyo Márquez,989.220.198
Matilde Barrientos Olivas,931819652
Ana Castellanos Muñoz,918-374-196
Pedro Hinojosa Sisneros,978-445-377
Jordi Loya Ferrer,955.281.841
Matilde Ozuna Bravo,954-387-731
Lorena Menéndez Pedraza,913.855.135
Pedro Barraza Fernández,946113486
Laura González Soliz,985-531-729
Hermenegildo Laboy Berríos,981121028
Sra. Jennifer Flórez Matos,959 970 926
Sta. Matilde Espinosa de los Monteros Vera,991110177
Jennifer Bañuelos Laureano,933-545-963
Roser Escamilla Córdova,968 004 819
Hermenegildo Tamayo Salgado,986970804
Sergi Olivera Orellana,999 223 451
Miguel Lovato Ávila,966.488.521
Sra. Andrea Solorzano Zelaya,936-401-961
Sra. Marta Montalvo Otero,904.491.324
Matilde Caldera Coronado,990-937-963
Matilde Pantoja Olivas,922 745 549
Daniel Enríquez Dávila,959.815.693
Pedro Negrete Partida,912493094
Andrea Viera Ochoa,966 466 961
Ana Zavala Cordero,990 651 401
Lorena Arias Figueroa,946.551.085
Sta. María de los Ángeles Mora Santillán,930 032 276
Lorena Cornejo Badillo,980-925-278
Sr. Pablo Lebrón Collado,985.203.964
María de los Ángeles Jasso Blanco,974 800 890
María de los Ángeles Alicea Ibarra,943768439
Ricardo Dueñas Perea,935-538-671
María de los Ángeles Roldán Flórez,949-648-383
Pedro Urías Cotto,906.646.345
Juan Ramón Bravo Olmos,987 461 882
María de los Ángeles Botello Amador,972336502
Salvador Casarez Fonseca,959.909.498
Pío Delgadillo Meza,993740624
Hermenegildo Paz Villegas,900-331-406
Pedro Cuellar Ybarra,928107397
Hermenegildo Lomeli Montemayor,940 361 313
Marta Acuña Gutiérrez,915 958 254
Sta. Andrea Miramontes Escalante,961758887
Sergi Gallegos Olmos,938-309-879
Anni Leyva Hidalgo,991 477 213
Pío Marín Prieto,971.928.198
Roser Cortés Montalvo,902-484-133
Jennifer Sáenz Serrato,985 387 415
Miguel Granados Villanueva,961 309 383
Carles Grijalva Quiñónez,923-187-124
Ana Aguirre Ortega,998 597 778
Salvador Madera Ramírez,988 101 943
Anni Cervántez Castro,980 855 053
Manuel Lemus Lozano,952.983.215
Lorena Gámez Osorio,967 617 819
Pablo Jaramillo Carrillo,927-729-648
Anni Ozuna Carrera,914-215-587
Jordi Moreno Patiño,925 043 345
Sr. Sergi Almanza Tapia,959.832.748
Pablo Velasco Duarte,918 778 602
Iván Negrón Arroyo,998252455
Pío Sierra Robledo,922 239 151
Jordi Barajas Véliz,939.999.031
Juan Ramón Esquibel Mireles,939316435
Matilde Barragán Ruíz,935 258 929
María de los Ángeles Estévez Naranjo,900.597.280
Maica Lara Casanova,994 065 093
Anni Caballero Guerrero,954-858-300
Rubén Madrigal Barrientos,964241265
Manuel Piña Bonilla,932 667 765
Matilde Espinoza Cavazos,907 066 667
Rubén Carrera Gutiérrez,948 564 545
Ana Saldivar Patiño,959586011
Marta Carrasco Saucedo,902-587-992
Sr. Ángel Acevedo Rodríguez,966 258 727
Maica Arellano Orta,994-846-660
Pío Concepción Concepción,921 826 144
Laura Olmos Correa,907752413
Lorena Valadez Gaytán,933-615-322
Sta. Jennifer Cotto Figueroa,965-220-850
Ricardo Peña Bernal,999.335.305
Matilde Alemán Riojas,901-971-449
Juan Ramón Moreno López,975779804
Pedro Tijerina Arce,920419129
Roser Benavídez Pérez,903 244 346
Matilde Cotto Espinosa,915.520.154
Sr. Pío Rodarte Gutiérrez,954 567 461
Ricardo Cordero Valladares,987.378.540
Roser Durán Santana,936 292 371
Lorena Chapa Bueno,934924369
María de los Ángeles Contreras Godoy,965.442.423
Hermenegildo Caldera Vaca,950.576.585
Salvador Luevano Robles,904.055.662
Sergi Muro Otero,985-599-251
Marta Limón Roldán,993-350-596
Jennifer Banda León,974430894
Miguel Cuellar Villanueva,906.893.675
Josep Alva Acuña,958042860
Andrea Jaime Vigil,983-915-977
Manuel Leal Manzanares,968511827
Andrea Heredia Irizarry,926.627.804
Daniel Avilés Tafoya,964859761
Lorena Montoya Santacruz,957.238.287
Jorge Ortega Malave,945109190
Salvador Cerda Olivera,946 109 600
Andrea Negrón Romo,970348527
Josep Meza Galarza,998-973-260
Pablo Velázquez Almaráz,981 290 882
Sra. María de los Ángeles Merino Santacruz,921.688.228
Matilde Melgar Gallardo,926 240 443
Matilde Espinoza Salas,929194221
Rubén Calderón Parra,998 612 145
María de los Ángeles Regalado Rivero,901.222.769
Pío Mota Vargas,988 644 244
Maica Gaytán Aranda,945.999.263
Matilde Ibarra Vergara,992 613 028
Roser Anaya Lira,910-678-372
Pedro Solano Garay,917-866-294
Maica Casarez Mercado,985458385
María de los Ángeles Reyes Rivero,981.420.722
Marta Meza Estévez,955674707
Anni Quesada Rosario,993684757
Lorena Escalante Zavala,941.032.795
Matilde Manzanares Valdez,978-025-673
Sr. Carles Perea Gallardo,914 326 793
Marta Luna Madrigal,919 516 320
Ana Alanis Villa,947-274-042
Lorena Gracia Melgar,993-239-557
Manuel Lerma Mata,989.765.006
Hermenegildo Villa Araña,959912489
Pío Soliz Santana,926.580.598
Sr. Daniel Delao Hernández,987.585.109
Daniel Escobedo Zaragoza,985.961.931
Josep Navarro Noriega,902071798
Ana Galarza Adame,925991767
Hermenegildo Olivo Muñiz,931-136-175
Matilde Gracia Zayas,962 236 801
Roser Caballero Pedroza,916-188-368
Ricardo Arce Mena,992.719.460
Daniel Aragón Granado,976 377 256
Sergi Ponce Badillo,920-598-901
Jorge Arredondo Juárez,917-177-186
Pío Preciado Lerma,964-465-526
Jennifer Carrera Saiz,964 011 886
Ángel Cantú Baca,943 775 304
Ricardo Galindo Alarcón,992 207 688
Maica Guerra Candelaria,998.767.694
Hermenegildo Pagan Arenas,982.180.493
Ana Lozada Apodaca,917-312-580
Lorena Otero Gaytán,930.836.271
Laura Martínez Murillo,910 828 439
María de los Ángeles Porras Huerta,938 720 024
Anni Vélez Montenegro,949.240.149
Manuel Gaona Meraz,931.111.152
Ricardo Camacho Gómez,989329377
Lorena Ordóñez Badillo,994.443.631
Lorena Pineda Montes,914-534-819
Maica Lovato Rolón,992-081-894
Lorena Aponte Ojeda,918018429
Marta Cano Cruz,979-227-636
Hermenegildo Quiñónez Fuentes,917-473-281
Salvador Dueñas Iglesias,970.363.076
Sergi Rolón Chapa,928 806 011
Jorge Gálvez Bustamante,953-931-461
Roser Bravo Mares,983 677 192
Ana Frías Verduzco,963 570 015
Miguel Villalpando Terán,915 878 330
Maica Ponce Nieves,979512102
Andrea Meléndez Villagómez,940-868-860
Hermenegildo Cárdenas Romero,961.878.192
Sergi León Tejada,953-633-117
Andrea Curiel Rascón,935-007-592
María de los Ángeles Jaime Méndez,993-262-997
Miguel Delgadillo Sarabia,964991546
Daniel Colón Borrego,993 636 914
Anni Abeyta Porras,919-219-781
Maica Farías Quintana,908.839.342
Marta Ceja Peña,934959844
Sr. Sergi Salcedo Jaimes,945-779-563
Iván Espinoza Torres,907 649 709
Andrea Rosado Gil,963.705.044
Andrea Escobar Gastélum,959 373 480
Marta Alejandro Rendón,987.633.677
Pedro Duarte Aguilera,920-455-486
Sra. Anni Mata Adorno,994.292.865
Carles Ojeda Delafuente,915-759-566
Anni Saavedra Corona,987 363 952
Jordi Toro Pérez,905-242-292
Matilde Puente Olmos,941264628
Jorge Terán Alicea,977.874.325
Pedro Pichardo Mejía,940.877.733
Josep Santillán Garrido,925.986.607
Ricardo Pabón Mayorga,970045181
Maica Echevarría Rico,980.644.129
Marta Matos Partida,905-961-120
Carles Guerra Flórez,970.237.838
Pío Hinojosa Cuellar,992.767.063
Anni Zarate Mateo,927-823-240
Miguel Villa Rocha,956-853-768
Josep Ceballos Carmona,937-946-430
Maica Menéndez Pabón,989 828 247
Iván Palacios Alonso,928-687-997
Sta. Laura Chavarría Fuentes,996401632
Sta. María de los Ángeles Soto Sandoval,907.763.456
Anni Zayas Araña,956393086
Maica Galindo Bonilla,940347488
Carles Cardona Cintrón,994.398.961
Anni Valentín Bustos,925 149 088
Lorena Ornelas Salazar,941290890
Daniel Dávila Soto,907.006.593
Maica Cavazos Villagómez,965 376 698
Anni Rentería Estrada,903370413
Iván Barrios Ortega,977131828
Jennifer Aragón Loera,986891141
Rubén Loera Garay,978.663.216
Hermenegildo Benavídez Muñoz,975272091
Sergi Quezada Vaca,971-080-060
Matilde Burgos Ordóñez,933120020
Hermenegildo Botello Galindo,963326893
Hermenegildo Madrid Anaya,910-423-677
Sr. Ángel Barreto Carranza,990007549
Daniel Nieto Quiróz,937.997.923
Josep Zayas Corona,974 784 628
Roser Aranda Sevilla,995.489.975
Andrea Fierro Álvarez,957-152-146
María de los Ángeles Llamas Delao,918.744.435
María de los Ángeles Camacho Martínez,909719220
Maica Olivares Zepeda,968 769 497
Sr. Juan Ramón Esquivel Sevilla,980-952-212
Carles Garica Collazo,938-054-055
Maica Cabrera Pichardo,932-231-695
Pedro Aguilar Burgos,951 431 927
Jorge Saiz Toro,951 623 977
María de los Ángeles Ibarra Osorio,941890683
Marta Candelaria Lucero,996.753.855
Matilde Rosales Valladares,960 445 337
Marta Guajardo Solorzano,918.087.953
Josep Lucio Ulloa,942742172
María de los Ángeles Valencia Linares,968111148
Sr. Rubén Torres Negrete,961807758
Pedro Madrigal Ybarra,965 780 049
Manuel Gastélum Quiñones,932.166.617
Maica Galarza Velásquez,925-983-500
Juan Ramón Guajardo Monroy,946932900
Sra. Roser Acosta Olivo,971-415-436
Ángel Juárez Ortega,900-259-384
Sergi Osorio Sarabia,957167671
Sra. Roser Manzanares Valverde,951 571 231
Jorge Carrasco Benavides,981 866 379
Sergi Méndez Reynoso,978.144.480
Sta. Ana Lira Moreno,984.815.535
Roser Rocha Soliz,946 004 647
Iván Treviño Carrero,903 474 027
Iván Munguía Pedraza,919.501.354
Andrea Ávila Ureña,905 388 140
Lorena Rocha Aragón,905.582.237
Carles Carbajal Saiz,954149969
Ángel Armenta Urías,929.933.550
Ángel Polanco Becerra,918-490-907
Sr. Rubén Marín Santacruz,959 535 183
Ricardo Vera Godínez,940.688.607
María de los Ángeles Loya Miramontes,903923800
Sta. Marta Prieto Madrigal,975.214.123
Lorena Adame Delatorre,950.659.614
Marta Armas Cervantes,968 074 467
Miguel Haro Magaña,965401874
Jennifer Zapata Villanueva,942.553.590
Laura Orozco Mejía,907.896.947
Andrea Villarreal Palomo,943-666-322
Daniel Barraza Pacheco,934 074 467
Josep Ybarra Zepeda,944945825
Sra. María de los Ángeles Cortés Terrazas,930305538
Jorge Peña Valenzuela,965 742 354
Carles Carreón Fuentes,976 779 260
Andrea Urías Menéndez,900226965
Lorena Urrutia Meza,910.468.935
Jennifer Figueroa Chacón,966067480
Pablo Quiñones Valles,997-597-649
Rubén Pabón Delgadillo,973-834-059
Anni Hinojosa Verduzco,979344220
Ricardo Corona Lozada,960.332.032
Lorena Cordero Rivero,943 483 126
Sr. Jordi Griego Echevarría,927-300-664
Carles Oquendo Crespo,956878386
Jennifer Benavides Collazo,993-675-565
Lorena Escobedo Aguayo,964.428.960
Maica Ortiz Gaona,928.782.250
Salvador Cantú Cruz,936-404-897
Laura Mondragón Fonseca,977.226.870
Maica Zamudio Contreras,987374376
Jennifer Cervántez Ureña,974120218
María de los Ángeles Serna Rosado,997 834 315
Ángel Angulo Herrera,916.244.566
Rubén Cavazos Crespo,986 793 905
Pedro Rendón Rodarte,997-216-170
Ana Aguilera Magaña,959545987
Sr. Ricardo Aranda Villarreal,942792803
